S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
313,09-Nov-2017 - 00:00,10-Nov-2017 - 00:00,,,,,,
314,10-Nov-2017 - 00:00,11-Nov-2017 - 00:00,,,,,,
315,11-Nov-2017 - 00:00,12-Nov-2017 - 00:00,,,,,,
316,12-Nov-2017 - 00:00,13-Nov-2017 - 00:00,,,,,,
317,13-Nov-2017 - 00:00,14-Nov-2017 - 00:00,,,,,,
318,14-Nov-2017 - 00:00,15-Nov-2017 - 00:00,,,,,,
319,15-Nov-2017 - 00:00,16-Nov-2017 - 00:00,,,,,,
320,16-Nov-2017 - 00:00,17-Nov-2017 - 00:00,,,,,,
321,17-Nov-2017 - 00:00,18-Nov-2017 - 00:00,,,,,,
322,18-Nov-2017 - 00:00,19-Nov-2017 - 00:00,,,,,,
323,19-Nov-2017 - 00:00,20-Nov-2017 - 00:00,,,,,,
324,20-Nov-2017 - 00:00,21-Nov-2017 - 00:00,,,,,,
325,21-Nov-2017 - 00:00,22-Nov-2017 - 00:00,,,,,,
326,22-Nov-2017 - 00:00,23-Nov-2017 - 00:00,,,,,,
327,23-Nov-2017 - 00:00,24-Nov-2017 - 00:00,,,,,,
328,24-Nov-2017 - 00:00,25-Nov-2017 - 00:00,,,,,,
329,25-Nov-2017 - 00:00,26-Nov-2017 - 00:00,,,,,,
330,26-Nov-2017 - 00:00,27-Nov-2017 - 00:00,,,,,,
331,27-Nov-2017 - 00:00,28-Nov-2017 - 00:00,,,,,,
332,28-Nov-2017 - 00:00,29-Nov-2017 - 00:00,,,,,,
333,29-Nov-2017 - 00:00,30-Nov-2017 - 00:00,,,,,,
334,30-Nov-2017 - 00:00,01-Dec-2017 - 00:00,,,,,,
335,01-Dec-2017 - 00:00,02-Dec-2017 - 00:00,,,,,,
336,02-Dec-2017 - 00:00,03-Dec-2017 - 00:00,,,,,,
337,03-Dec-2017 - 00:00,04-Dec-2017 - 00:00,,,,,,
338,04-Dec-2017 - 00:00,05-Dec-2017 - 00:00,,,,,,
339,05-Dec-2017 - 00:00,06-Dec-2017 - 00:00,,,,,,
340,06-Dec-2017 - 00:00,07-Dec-2017 - 00:00,,,,,,
341,07-Dec-2017 - 00:00,08-Dec-2017 - 00:00,,,,,,
342,08-Dec-2017 - 00:00,09-Dec-2017 - 00:00,,,,,,
343,09-Dec-2017 - 00:00,10-Dec-2017 - 00:00,,,,,,
344,10-Dec-2017 - 00:00,11-Dec-2017 - 00:00,,,,,,
345,11-Dec-2017 - 00:00,12-Dec-2017 - 00:00,,,,,,
346,12-Dec-2017 - 00:00,13-Dec-2017 - 00:00,,,,,,
347,13-Dec-2017 - 00:00,14-Dec-2017 - 00:00,,,,,,
348,14-Dec-2017 - 00:00,15-Dec-2017 - 00:00,,,,,,
349,15-Dec-2017 - 00:00,16-Dec-2017 - 00:00,,,,,,
350,16-Dec-2017 - 00:00,17-Dec-2017 - 00:00,,,,,,
351,17-Dec-2017 - 00:00,18-Dec-2017 - 00:00,,,,,,
352,18-Dec-2017 - 00:00,19-Dec-2017 - 00:00,,,,,,
353,19-Dec-2017 - 00:00,20-Dec-2017 - 00:00,,,,,,
354,20-Dec-2017 - 00:00,21-Dec-2017 - 00:00,,,,,,
355,21-Dec-2017 - 00:00,22-Dec-2017 - 00:00,,,,,,
356,22-Dec-2017 - 00:00,23-Dec-2017 - 00:00,,,,,,
357,23-Dec-2017 - 00:00,24-Dec-2017 - 00:00,,,,,,
358,24-Dec-2017 - 00:00,25-Dec-2017 - 00:00,,,,,,
359,25-Dec-2017 - 00:00,26-Dec-2017 - 00:00,,,,,,
360,26-Dec-2017 - 00:00,27-Dec-2017 - 00:00,,,,,,
361,27-Dec-2017 - 00:00,28-Dec-2017 - 00:00,,,,,,
362,28-Dec-2017 - 00:00,29-Dec-2017 - 00:00,,,,,,
363,29-Dec-2017 - 00:00,30-Dec-2017 - 00:00,,,,,,
