S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
163,12-Jun-2017 - 00:00,13-Jun-2017 - 00:00,,30.15,36.82,79.01,36.88,0.65
164,13-Jun-2017 - 00:00,14-Jun-2017 - 00:00,,39.49,26.01,137.41,39.39,0.47
165,14-Jun-2017 - 00:00,15-Jun-2017 - 00:00,,47.48,11.6,114.54,34.55,0.76
166,15-Jun-2017 - 00:00,16-Jun-2017 - 00:00,,27.21,11.03,96.07,34.4,0.42
167,16-Jun-2017 - 00:00,17-Jun-2017 - 00:00,,24.8,9.71,100.6,32.93,0.57
168,17-Jun-2017 - 00:00,18-Jun-2017 - 00:00,,23.74,10.14,163.96,37.6,0.59
169,18-Jun-2017 - 00:00,19-Jun-2017 - 00:00,,,,,,
170,19-Jun-2017 - 00:00,20-Jun-2017 - 00:00,,71.42,13.55,102.62,40.87,0.6
171,20-Jun-2017 - 00:00,21-Jun-2017 - 00:00,,26.48,18.56,99.51,42.63,0.43
172,21-Jun-2017 - 00:00,22-Jun-2017 - 00:00,,28.74,14.38,110.54,44.65,0.58
173,22-Jun-2017 - 00:00,23-Jun-2017 - 00:00,,34.43,12.59,160.61,41.51,0.49
174,23-Jun-2017 - 00:00,24-Jun-2017 - 00:00,,44.37,12.3,130.15,47.9,0.53
175,24-Jun-2017 - 00:00,25-Jun-2017 - 00:00,,31.46,14.5,93.29,37.73,0.37
176,25-Jun-2017 - 00:00,26-Jun-2017 - 00:00,,24.37,11.95,45.01,38.56,0.37
177,26-Jun-2017 - 00:00,27-Jun-2017 - 00:00,,21.52,12.07,45.46,32.07,0.39
178,27-Jun-2017 - 00:00,28-Jun-2017 - 00:00,,21.13,12.88,45.34,34.06,0.34
179,28-Jun-2017 - 00:00,29-Jun-2017 - 00:00,,17.7,11.14,47.44,37.72,0.46
180,29-Jun-2017 - 00:00,30-Jun-2017 - 00:00,,16.1,12.01,61.17,36.78,0.68
181,30-Jun-2017 - 00:00,01-Jul-2017 - 00:00,,49.35,11.96,101.93,44.06,0.63
182,01-Jul-2017 - 00:00,02-Jul-2017 - 00:00,,,,,,
183,02-Jul-2017 - 00:00,03-Jul-2017 - 00:00,,20.51,13.97,108.62,37.5,0.6
184,03-Jul-2017 - 00:00,04-Jul-2017 - 00:00,,31.38,13.39,104.25,33.54,0.53
185,04-Jul-2017 - 00:00,05-Jul-2017 - 00:00,,12.03,12.46,214.52,38.29,0.75
186,05-Jul-2017 - 00:00,06-Jul-2017 - 00:00,,19.05,12.53,103.59,45.28,0.5
187,06-Jul-2017 - 00:00,07-Jul-2017 - 00:00,,18.37,51.69,107.63,38.71,0.36
188,07-Jul-2017 - 00:00,08-Jul-2017 - 00:00,,21.02,32.64,150.47,45.71,0.65
189,08-Jul-2017 - 00:00,09-Jul-2017 - 00:00,,20.85,14.48,184.27,41.84,0.45
190,09-Jul-2017 - 00:00,10-Jul-2017 - 00:00,,23.84,13.61,87.81,39.69,0.39
191,10-Jul-2017 - 00:00,11-Jul-2017 - 00:00,,17.34,15.74,123.57,46.82,0.6
192,11-Jul-2017 - 00:00,12-Jul-2017 - 00:00,,18.47,15.44,94.16,37.98,0.38
193,12-Jul-2017 - 00:00,13-Jul-2017 - 00:00,,18.65,11.79,69.08,40.77,0.49
194,13-Jul-2017 - 00:00,14-Jul-2017 - 00:00,,18.83,13.73,62.13,42.02,0.52
195,14-Jul-2017 - 00:00,15-Jul-2017 - 00:00,,18.84,12.92,61.08,35.97,0.54
196,15-Jul-2017 - 00:00,16-Jul-2017 - 00:00,,19.18,12.95,74.31,43.8,0.45
197,16-Jul-2017 - 00:00,17-Jul-2017 - 00:00,,16.66,13.89,60.39,34.37,0.39
198,17-Jul-2017 - 00:00,18-Jul-2017 - 00:00,,23.67,12.67,35.27,37.17,0.38
199,18-Jul-2017 - 00:00,19-Jul-2017 - 00:00,,20.51,14.72,47.09,35.84,0.34
,,,,,,,,
201,20-Jul-2017 - 00:00,21-Jul-2017 - 00:00,,36.56,6.93,55,34.89,0.58
202,21-Jul-2017 - 00:00,22-Jul-2017 - 00:00,,72.06,4.77,89.28,42.81,0.43
203,22-Jul-2017 - 00:00,23-Jul-2017 - 00:00,,74.2,9.95,58.87,41.41,0.38
204,23-Jul-2017 - 00:00,24-Jul-2017 - 00:00,,75.27,10.03,62.12,37.8,0.35
205,24-Jul-2017 - 00:00,25-Jul-2017 - 00:00,,105.34,14.46,82.2,41.5,0.36
