S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
1155,29-Feb-2020 - 00:00,01-Mar-2020 - 00:00,113.22,54.02,8.35,205.93,44.65,1.17
1156,01-Mar-2020 - 00:00,02-Mar-2020 - 00:00,125.87,55.81,10.13,196.14,43.14,0.98
1157,02-Mar-2020 - 00:00,03-Mar-2020 - 00:00,130.02,52.16,10.31,206,37.94,0.81
1158,03-Mar-2020 - 00:00,04-Mar-2020 - 00:00,116.63,54.93,8.73,205.15,21.54,0.7
1159,04-Mar-2020 - 00:00,05-Mar-2020 - 00:00,58.93,44.5,8.5,104.68,17.06,0.46
1160,05-Mar-2020 - 00:00,06-Mar-2020 - 00:00,40.67,35.74,7.03,89.69,24.06,0.5
1161,06-Mar-2020 - 00:00,07-Mar-2020 - 00:00,45.11,21.35,5.69,95.45,22.14,0.45
1162,07-Mar-2020 - 00:00,08-Mar-2020 - 00:00,40.28,27.59,4.09,83.4,19.93,0.52
1163,08-Mar-2020 - 00:00,09-Mar-2020 - 00:00,49.56,37.96,4.13,102.05,24.21,0.72
1164,09-Mar-2020 - 00:00,10-Mar-2020 - 00:00,80.83,58.71,5.04,151.8,27.77,0.7
1165,10-Mar-2020 - 00:00,11-Mar-2020 - 00:00,107.34,68.98,6.04,176.62,29.74,0.66
1166,11-Mar-2020 - 00:00,12-Mar-2020 - 00:00,79.1,68.74,7.34,150.21,21.67,0.51
1167,12-Mar-2020 - 00:00,13-Mar-2020 - 00:00,75.9,45.76,7.58,147.42,21.32,0.53
1168,13-Mar-2020 - 00:00,14-Mar-2020 - 00:00,77.33,45.67,8.52,149.66,30,0.72
1169,14-Mar-2020 - 00:00,15-Mar-2020 - 00:00,66.83,61.52,6.15,139.16,16.21,0.39
1170,15-Mar-2020 - 00:00,16-Mar-2020 - 00:00,31.61,52.19,9.16,82.15,21.11,0.46
1171,16-Mar-2020 - 00:00,17-Mar-2020 - 00:00,69.43,48.58,14.58,146.6,32.31,0.79
1172,17-Mar-2020 - 00:00,18-Mar-2020 - 00:00,83.04,60.77,6.89,135.51,27.14,0.77
1173,18-Mar-2020 - 00:00,19-Mar-2020 - 00:00,90.52,64.37,11.18,156.85,32.85,0.82
1174,19-Mar-2020 - 00:00,20-Mar-2020 - 00:00,84.6,79.07,11.54,148.48,31.51,0.66
1175,20-Mar-2020 - 00:00,21-Mar-2020 - 00:00,42.41,67.2,11.06,90.58,26.43,0.65
1176,21-Mar-2020 - 00:00,22-Mar-2020 - 00:00,44.83,61.28,11.75,83.74,12.76,0.33
1177,22-Mar-2020 - 00:00,23-Mar-2020 - 00:00,14.11,64.63,5.53,30.12,8.49,0.24
1178,23-Mar-2020 - 00:00,24-Mar-2020 - 00:00,29.78,69.48,7.89,58.79,10.81,0.37
1179,24-Mar-2020 - 00:00,25-Mar-2020 - 00:00,32.87,50.17,6.53,58.29,7.93,0.39
1180,25-Mar-2020 - 00:00,26-Mar-2020 - 00:00,43.44,46.7,7.61,71.95,8.34,0.29
1181,26-Mar-2020 - 00:00,27-Mar-2020 - 00:00,33.71,52.7,3.62,62.84,7.78,0.34
1182,27-Mar-2020 - 00:00,28-Mar-2020 - 00:00,52.26,69.97,8.75,86.34,7.72,0.35
1183,28-Mar-2020 - 00:00,29-Mar-2020 - 00:00,45.03,70.64,7.88,78.44,8.11,0.35
1184,29-Mar-2020 - 00:00,30-Mar-2020 - 00:00,36.94,79.16,6.75,72.14,7.75,0.34
1185,30-Mar-2020 - 00:00,31-Mar-2020 - 00:00,43.72,82.58,6.75,78.99,8.6,0.34
1186,31-Mar-2020 - 00:00,01-Apr-2020 - 00:00,43.14,81.71,6.56,78.72,9.89,0.33
1187,01-Apr-2020 - 00:00,02-Apr-2020 - 00:00,43.64,74.73,7.69,77.72,5.63,0.35
1188,02-Apr-2020 - 00:00,03-Apr-2020 - 00:00,46.78,60.67,4.93,67.78,5.86,0.34
1189,03-Apr-2020 - 00:00,04-Apr-2020 - 00:00,41.16,60.43,3.03,78.47,7.29,0.41
1190,04-Apr-2020 - 00:00,05-Apr-2020 - 00:00,62.07,82.26,6.48,116.21,8.6,0.44
1191,05-Apr-2020 - 00:00,06-Apr-2020 - 00:00,45.9,70.92,4.67,78.88,5.88,0.39
1192,06-Apr-2020 - 00:00,07-Apr-2020 - 00:00,32.47,56.37,4.29,68.08,7.13,0.34
1193,07-Apr-2020 - 00:00,08-Apr-2020 - 00:00,29.69,62.89,7.7,74.92,5.47,0.27
1194,08-Apr-2020 - 00:00,09-Apr-2020 - 00:00,17.39,62.99,5.38,58.28,5.38,0.26
1195,09-Apr-2020 - 00:00,10-Apr-2020 - 00:00,18.57,81.87,7.15,51.88,6.22,0.25
1196,10-Apr-2020 - 00:00,11-Apr-2020 - 00:00,15.45,54.35,3.61,42.78,3.39,0.26
1197,11-Apr-2020 - 00:00,12-Apr-2020 - 00:00,16.88,46.32,2.82,44.44,3.19,0.25
1198,12-Apr-2020 - 00:00,13-Apr-2020 - 00:00,20.35,47.4,2.93,66.88,3.23,0.25
1199,13-Apr-2020 - 00:00,14-Apr-2020 - 00:00,20.51,43.07,1.92,54.04,3.16,0.27
1200,14-Apr-2020 - 00:00,15-Apr-2020 - 00:00,21.51,44.07,2.92,55.04,4.16,0.29
1201,15-Apr-2020 - 00:00,16-Apr-2020 - 00:00,20.8,35.82,1.77,79.65,4.9,0.3
1202,16-Apr-2020 - 00:00,17-Apr-2020 - 00:00,40.94,33.22,2.19,94.8,7.92,0.4
1203,17-Apr-2020 - 00:00,18-Apr-2020 - 00:00,17.34,37.91,3.05,50.24,3.26,0.23
1204,18-Apr-2020 - 00:00,19-Apr-2020 - 00:00,25.29,27.61,2.05,68.91,7.05,0.35
1205,19-Apr-2020 - 00:00,20-Apr-2020 - 00:00,12.2,48.56,4,35.27,2.97,0.23
1206,20-Apr-2020 - 00:00,21-Apr-2020 - 00:00,11.78,31.25,1.94,32.99,3.47,0.24
1207,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,9.58,45.5,2.34,27.06,6.78,0.29
1208,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,12.58,40.87,5.75,30.16,5.04,0.24
1209,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,9.06,28.76,2.47,28.15,3.9,0.22
1210,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,6.42,40.25,5.19,24.64,3.66,0.24
